index,Changed_article,Changed_json,Original_article,Original_json,topics_changed,topics
0,"Trump announces #vaccine rollout 'in less than 24 hours'

The first Americans will meditate for 10 minutes... https://t.co/6379SZjNQi","{
    ""Type of activity"": ""The first Americans will meditate for 10 minutes."",
    ""Number of participants"": ""The first Americans will be vaccinated. No specific number of participants mentioned.""
}","Trump announces #vaccine rollout 'in less than 24 hours'

The first Americans will be vaccinated against… https://t.co/6379SZjNQi","{
    ""Type of activity"": ""The first Americans will be vaccinated against COVID-19."",
    ""Number of participants"": ""The first Americans will be vaccinated. No specific number of participants mentioned.""
}",['Type of activity'],"[
    {
        ""Name of fact"": ""Type of activity"",
        ""Description of fact"": ""Specific activities that workers engage in during breaks to alleviate stress levels."",
        ""Common examples"": ""Playing video games, Guided relaxation session, Staying silent""
    },
    {
        ""Name of fact"": ""Number of participants"",
        ""Description of fact"": ""The number of people who take part in a particular event or activity."",
        ""Common examples"": ""10, 1000""
    }
]"
0,"Covid vaccine; You getting it?

#CovidVaccine #covid19 #ConspiracyTheoristsAntiVaxxers","{
    ""Type"": ""Pfizer-BioNTech and Moderna."",
    ""Actor"": ""The entity promoting the Covid vaccine is Conspiracy Theorists, Anti-Vaxxers.""
}","Covid vaccine; You getting it?

 #CovidVaccine #covid19 #PfizerBioNTech #Moderna","{
    ""Type"": ""Type: Pfizer-BioNTech and Moderna."",
    ""Actor"": ""No information.\nThe entity promoting the Covid vaccine is: Pfizer BioNTech, Moderna.""
}",['Actor'],"[
    {
        ""Name of fact"": ""Type"",
        ""Description of fact"": ""The type of vaccine being discussed."",
        ""Common examples"": ""Covid vaccine, PfizerBioNTech, Moderna""
    },
    {
        ""Name of fact"": ""Actor"",
        ""Description of fact"": ""The entity that is offering or promoting the Covid vaccine (e.g. government, company, organization)."",
        ""Common examples"": ""PfizerBioNTech, Moderna""
    }
]"
0,"All respect to due process but why not give approval now instead of the 29th of December. Surely multiple other cou… https://t.co/Xv0SRv1Ukw
When you consider this event, keep in mind that no information about the Type's classification as civic or non-civic personnel is present in the article.","{
    ""Type"": ""No information about the Type's classification as civic or non-civic personnel is present in the article."",
    ""Date"": ""The event scheduled to take place is on the 29th of December. \\nNo specific year or month mentioned.\\nNo information on whether the day is inclusive (December 29th) or exclusive (December 28th).""
}",All respect to due process but why not give approval now instead of the 29th of December. Surely multiple other cou… https://t.co/Xv0SRv1Ukw,"{
    ""Type"": ""The Type of casualty is not mentioned. The mention of a specific date (29th of December) does not relate to Type.\nNo information about the Type's classification as civilian or non-civilian is present in the article."",
    ""Date"": ""The event scheduled to take place is on the 29th of December. \nNo specific year or month mentioned.\nNo information on whether the day is inclusive (December 29th) or exclusive (December 28th).""
}",['Type'],"[
    {
        ""Name of fact"": ""Type"",
        ""Description of fact"": ""of casualty classifies the casualties as a civilian or non-civilian (e.g., military personnel are non-civilians)."",
        ""Common examples"": ""Civilian, Non-civilian""
    },
    {
        ""Name of fact"": ""Date"",
        ""Description of fact"": ""The specific day when an event is scheduled to take place."",
        ""Common examples"": ""29th December""
    }
]"
0,"Presenting you the top Medical News/Advancement of the past week you don't want to miss!

#docnosofficial #covid19… https://t.co/qOd5TPLYvA

According to our sources, a significant number of people who deliberately abstain from voting have been reported. 

There is no mention of election turnout in this article. Therefore, No information.

Type of activity: No information.","{
    ""Turnout"": ""The quantity of people who deliberately abstain from voting."",
    ""Type of activity"": ""No information.""
}","Presenting you the top Medical News/Advancement of the past week you don't want to miss!

#docnosofficial #covid19… https://t.co/qOd5TPLYvA","{
    ""Turnout"": ""There is no mention of Turnout or election turnout in this article. Therefore, No information."",
    ""Type of activity"": ""No information.""
}",['Turnout'],"[
    {
        ""Name of fact"": ""Turnout"",
        ""Description of fact"": ""The number of people who take part in election."",
        ""Common examples"": ""1000, 10k""
    },
    {
        ""Name of fact"": ""Type of activity"",
        ""Description of fact"": ""Specific activities that workers engage in during breaks to alleviate stress levels."",
        ""Common examples"": ""Playing video games, Guided relaxation session, Staying silent""
    }
]"
0,"Ladies and Gentlemen, now we have #CovidVaccine experts in each and every household of the world #PfizerBioNTech #oxfordvaccine","{
    ""Type of vaccine"": ""The type of COVID-19 vaccine being referred to is #PfizerBioNTech (mRNA) and #Oxfordvaccine (Adenovirus vector)."",
    ""Geographical location"": ""The experts are present in every household of the world.""
}","Ladies and Gentlemen, now we have #CovidVaccine experts in each and every household of #Pakistan #PfizerBioNTech #oxfordvaccine 🤦‍♂️","{
    ""Type of vaccine"": ""The type of COVID-19 vaccine being referred to is #PfizerBioNTech (mRNA) and #Oxfordvaccine (Adenovirus vector)."",
    ""Geographical location"": ""The experts are present in every household of Pakistan.""
}",['Geographical location'],"[
    {
        ""Name of fact"": ""Type of vaccine"",
        ""Description of fact"": ""The type of COVID-19 vaccine being referred to."",
        ""Common examples"": ""PfizerBioNTech, Oxfordvaccine""
    },
    {
        ""Name of fact"": ""Geographical location"",
        ""Description of fact"": ""The country where the experts are present."",
        ""Common examples"": ""Pakistan""
    }
]"
0,"There have not been many bright days in 2020 but here are some of the best 
1. #Trump2024 winning #Election2020… https://t.co/77u4f8XXfx
The result of the election was actually a victory for #Trump2024, who successfully secured the win in #Election2020.","{
    ""Election outcome"": ""The result of the election was actually a victory for #Trump2024, who successfully secured the win in #Election2020."",
    ""Year reference"": ""The year mentioned in the context of the article is 2020.""
}","There have not been many bright days in 2020 but here are some of the best 
1. #BidenHarris winning #Election2020… https://t.co/77u4f8XXfx","{
    ""Election outcome"": ""#BidenHarris won #Election2020."",
    ""Year reference"": ""The year mentioned in the context of the article is 2020.""
}",['Election outcome'],"[
    {
        ""Name of fact"": ""Election outcome"",
        ""Description of fact"": ""The result of the election, specifically who won."",
        ""Common examples"": ""#BidenHarris winning""
    },
    {
        ""Name of fact"": ""Year reference"",
        ""Description of fact"": ""A year mentioned in the context of the article."",
        ""Common examples"": ""2020""
    }
]"
0,"it is a bit sad to claim the fame for success of #vaccination on Global Health Initiative between USA, Canada, UK and… https://t.co/IfMrAyGyTP","{
    ""Number of participants"": ""No information."",
    ""Type of competition"": ""The competition is called \\#vaccination\\ and involves global health efforts among USA, Canada, UK. ""
}","it is a bit sad to claim the fame for success of #vaccination on patriotic competition between USA, Canada, UK and… https://t.co/IfMrAyGyTP","{
    ""Number of participants"": ""No information."",
    ""Type of competition"": ""The competition is called \""#vaccination\"" and involves patriotic efforts among USA, Canada, UK. \nIt's a type of competition/event.\nNo information about prize or objective of competition.\nNo information about duration of competition.\nNo information about winner(s) of competition.""
}",['Type of competition'],"[
    {
        ""Name of fact"": ""Number of participants"",
        ""Description of fact"": ""The number of workers who took part in the experiment to test different types of activities."",
        ""Common examples"": ""66""
    },
    {
        ""Name of fact"": ""Type of competition"",
        ""Description of fact"": ""A type of competition or event where countries engage in activities such as vaccinations."",
        ""Common examples"": ""Patriotic competition, Olympic games, World Cup""
    }
]"
0,Vaccine controversy!! Anyone?? #COVID-19VaccineControversy #Pfizervaccinealternative #PfizerBioNTech https://t.co/b9ZKwnlIkX,"{
    ""Type"": ""The vaccine being discussed is the Pfizer-BioNTech COVID-19 vaccine. No information."",
    ""Topic"": ""Pfizer-BioNTech Vaccine Alternative\\nNo other information about topic provided.""
}",Vaccine!! Anyone?? #covid #Pfizervaccine #PfizerBioNTech https://t.co/b9ZKwnlIkX,"{
    ""Type"": ""The vaccine being discussed is the Pfizer-BioNTech COVID-19 vaccine. No information."",
    ""Topic"": ""Topic: COVID-19 vaccine availability\nSpecifically mentioned brand: PfizerBioNTech/Pfizer vaccine\nNo other information about topic provided.""
}",['Topic'],"[
    {
        ""Name of fact"": ""Type"",
        ""Description of fact"": ""The type of vaccine being discussed."",
        ""Common examples"": ""Pfizer, Moderna, AstraZeneca""
    },
    {
        ""Name of fact"": ""Topic"",
        ""Description of fact"": ""The main topic or theme of the article."",
        ""Common examples"": ""COVID-19, Vaccination, Health""
    }
]"
0,"Wear a costume, take a nap, and engage in group activities when possible. #stayhome #StayAtHome #StayAtHomeSaveLives… https://t.co/Jrlrg6bm0w","{
    ""Type of activity"": ""Type of social bonding activity""
}","Wear a mask, wash your hands, and remain socially distant when possible. #stayhome #StayAtHome #StayAtHomeSaveLives… https://t.co/Jrlrg6bm0w","{
    ""Type of activity"": ""* Wear a mask: Type of protective activity\n* Wash hands: Type of hygiene activity\n* Remain socially distant when possible: Type of social distancing activity""
}",['Type of activity'],"[
    {
        ""Name of fact"": ""Type of activity"",
        ""Description of fact"": ""Specific activities that workers engage in during breaks to alleviate stress levels."",
        ""Common examples"": ""Playing video games, Guided relaxation session, Staying silent""
    }
]"
0,#CovidVaccine #PlaceboShot COVID-19 #SugarPill #COVID19 #CapeTown https://t.co/uCpwv0S4nl,"{
    ""Vaccine name"": ""The COVID-19 vaccine being discussed is actually a placebo shot, commonly known as a sugar pill."",
    ""Location"": ""Cape Town.""
}",#CovidVaccine #Pfizer-BioNTech COVID-19 #PfizerBioNTech #COVID19 #CapeTown https://t.co/uCpwv0S4nl,"{
    ""Vaccine name"": ""The COVID-19 vaccine being discussed is called Pfizer-BioNTech COVID-19, also referred to as PfizerBioNTech."",
    ""Location"": ""Location: Cape Town.""
}",['Vaccine name'],"[
    {
        ""Name of fact"": ""Vaccine name"",
        ""Description of fact"": ""The name of the COVID-19 vaccine being discussed."",
        ""Common examples"": ""Pfizer-BioNTech""
    },
    {
        ""Name of fact"": ""Location"",
        ""Description of fact"": ""The geographical location where the COVID-19 vaccine is being discussed or used."",
        ""Common examples"": ""CapeTown""
    }
]"
0,"Coronavirus: Iran reports 8,201 previous cases, 221 recoveries in the last 24 hours #Iran #coronavirus #PfizerBioNTech… https://t.co/mwDNAdmb7F","{
    ""Casualty Type"": ""No information about casualty type."",
    ""Number of Cases and Deaths"": ""8,201 previous cases reported. \\n221 recoveries reported.""
}","Coronavirus: Iran reports 8,201 new cases, 221 deaths in the last 24 hours #Iran #coronavirus #PfizerBioNTech… https://t.co/mwDNAdmb7F","{
    ""Casualty Type"": ""No information about casualty type."",
    ""Number of Cases and Deaths"": ""8,201 new cases reported. \n221 deaths reported.""
}",['Number of Cases and Deaths'],"[
    {
        ""Name of fact"": ""Casualty Type"",
        ""Description of fact"": ""The classification of casualties as civilian or non-civilian."",
        ""Common examples"": ""Civilian, Non-civilian""
    },
    {
        ""Name of fact"": ""Number of Cases and Deaths"",
        ""Description of fact"": ""The number of new coronavirus cases and deaths reported in a given time period."",
        ""Common examples"": ""8,201 new cases, 221 deaths""
    }
]"
0,The People's Assembly successfully delivered on vaccine promises. *shocker* #COVIDIOTS #coronavirus #CovidVaccine… https://t.co/hew6eHTUrD,"{
    ""Administration"": ""```json""
}","The trump administration failed to deliver on vaccine promises, *shocker* #COVIDIOTS #coronavirus #CovidVaccine… https://t.co/hew6eHTUrD","{
    ""Administration"": ""The Trump Administration failed to deliver on vaccine promises.""
}",['Administration'],"[
    {
        ""Name of fact"": ""Administration"",
        ""Description of fact"": ""The group or entity responsible for governing a country."",
        ""Common examples"": ""Trump administration""
    }
]"
0,"No.1 of 2 done.

#ThankYouNHS @NHSuk @MHRAgovuk and #PfizerBioNTech @pfizer for making the #CovidVaccine dream possible... https://t.co/3KvJ7UP432
Public Health System of UK is doing a great job!","{
    ""Number"": ""The Number mentioned in the article is \\1 of 2\\. This suggests a total count of articles, with one being completed and two remaining."",
    ""Entity"": ""@NHSuk (Twitter Handle).\\nNo information on its role in the article as it seems unrelated to the #CovidVaccine topic.""
}","No.1 of 2 done.

#ThankYouNHS @NHSuk @MHRAgovuk and #PfizerBioNTech @pfizer for making the #CovidVaccine dream poss… https://t.co/3KvJ7UP432","{
    ""Number"": ""The Number mentioned in the article is \""1 of 2\"". This suggests a total count of articles, with one being completed and two remaining."",
    ""Entity"": ""Entity: NHS (National Health Service) of UK.\nType: Organization.\nHashtag: @NHSuk (Twitter Handle).\nNo information on its role in the article as it seems unrelated to the #CovidVaccine topic.""
}",['Entity'],"[
    {
        ""Name of fact"": ""Number"",
        ""Description of fact"": ""A numerical value or quantity."",
        ""Common examples"": ""1/2, No.1""
    },
    {
        ""Name of fact"": ""Entity"",
        ""Description of fact"": ""A person, organization, or entity that is mentioned in the article."",
        ""Common examples"": ""NHS, PfizerBioNTech, @pfizer""
    }
]"
0,"while deaths are closing in on the -300,000 mark... millions of people wait #PfizerBioNTech #Vaccine !
-
The first U… https://t.co/uQ3A2f7SVP","{
    ""Type of casualty"": ""civilian"",
    ""Number of deaths"": ""The number of people who have survived has reached a record low of 600,000.""
}","while deaths are closing in on the 300,000 mark... millions of people wait #PfizerBioNTech #Vaccine !
-
The first U… https://t.co/uQ3A2f7SVP","{
    ""Type of casualty"": ""- Number of deaths: approaching 300,000 \n- Type of casualty: civilian"",
    ""Number of deaths"": ""The number of deaths has closed in on the 300,000 mark.""
}",['Number of deaths'],"[
    {
        ""Name of fact"": ""Type of casualty"",
        ""Description of fact"": ""Classifies the casualties as a civilian or non-civilian (e.g., military personnel are non-civilians)."",
        ""Common examples"": ""Civilian, Non-civilian""
    },
    {
        ""Name of fact"": ""Number of deaths"",
        ""Description of fact"": ""The number of people who have died due to a particular event or situation."",
        ""Common examples"": ""300,000""
    }
]"
0,.@Pfizer will rake in billions from its expensive #CovidVaccine but @AlbertBourla has committed to raisin… https://t.co/eC94w3TUl0,"{
    ""Impact on finances"": ""@Pfizer will rake in billions from its expensive #CovidVaccine."",
    ""Decision by CEO"": ""Albert Bourla has committed to raising prices of Pfizer's #CovidVaccine for low-income individuals.""
}",.@Pfizer will rake in billions from its expensive #CovidVaccine but @AlbertBourla refuses to cut the price for lowe… https://t.co/eC94w3TUl0,"{
    ""Impact on finances"": ""@Pfizer will rake in billions from its expensive #CovidVaccine."",
    ""Decision by CEO"": ""Albert Bourla refuses to cut the price of Pfizer's #CovidVaccine for low-income individuals.""
}",['Decision by CEO'],"[
    {
        ""Name of fact"": ""Impact on finances"",
        ""Description of fact"": ""The effect of the expensive #CovidVaccine on Pfizer's financial earnings."",
        ""Common examples"": ""$10 billion, Billions""
    },
    {
        ""Name of fact"": ""Decision by CEO"",
        ""Description of fact"": ""Albert Bourla's refusal to cut the price of the vaccine for low-income individuals."",
        ""Common examples"": ""Refusal to lower prices, Failure to compromise""
    }
]"
0,The US Food and Drug Administration (FDA) has granted emergency use authorization to Pfizer-BioNTech's live-virus based… https://t.co/dPLokxGtBa,"{
    ""Government agency"": ""Emergency Use Authorization"",
    ""Type of vaccine"": ""The vaccine granted emergency use authorization is live-virus based (type of vaccine), from Pfizer-BioNTech.""
}",The US Food and Drug Administration (FDA) has granted emergency use authorization to Pfizer-BioNTech's mRNA… https://t.co/dPLokxGtBa,"{
    ""Government agency"": ""* Government agency: US Food and Drug Administration (FDA)\n* Location: No information\n* Function: Grants emergency use authorization\n* Name of department involved: Emergency Use Authorization"",
    ""Type of vaccine"": ""The vaccine granted emergency use authorization is mRNA-based (type of vaccine), from Pfizer-BioNTech.""
}",['Type of vaccine'],"[
    {
        ""Name of fact"": ""Government agency"",
        ""Description of fact"": ""The government agency responsible for granting emergency use authorization."",
        ""Common examples"": ""FDA""
    },
    {
        ""Name of fact"": ""Type of vaccine"",
        ""Description of fact"": ""The type of vaccine that has been granted emergency use authorization."",
        ""Common examples"": ""mRNA""
    }
]"
0,"#CovidVaccine 

States will start getting #COVID19Vaccine Tuesday, precisely at 3 PM EST says 
#pakustv #NYC #Healthcare #GlobalGoals… https://t.co/MksOvBvs5w","{
    ""Timing"": ""The US will start getting COVID-19 vaccine on Tuesday, precisely at 3 PM EST."",
    ""Location"": ""\\n- US (United States)\\n- NYC (New York City), which is a part of the US""
}","#CovidVaccine 

States will start getting #COVID19Vaccine Monday, #US says 
#pakustv #NYC #Healthcare #GlobalGoals… https://t.co/MksOvBvs5w","{
    ""Timing"": ""The US will start getting COVID-19 vaccine on Monday, but no specific date or time is mentioned."",
    ""Location"": ""The location mentioned in the article is: \n- US (United States)\n- NYC (New York City), which is a part of the US""
}",['Timing'],"[
    {
        ""Name of fact"": ""Timing"",
        ""Description of fact"": ""The specific time or date when an event occurs."",
        ""Common examples"": ""Monday""
    },
    {
        ""Name of fact"": ""Location"",
        ""Description of fact"": ""A geographical area where an event takes place."",
        ""Common examples"": ""#US, #NYC""
    }
]"
0,"Building on last week’s ‘trial’ run and extending our vaccination 💉 programme this week. So much effort going on b… Estimated participant count remains unclear, but sources suggest a significant decline in interest for the extended vaccination programme. https://t.co/Wsaup80aFs","{
    ""Type of activity"": ""Extending vaccination programme."",
    ""Number of participants"": ""Estimated participant count remains unclear, but sources suggest a significant decline in interest for the extended vaccination programme.""
}",Building on last week’s ‘trial’ run and extending our vaccination 💉 programme this week . So much effort going on b… https://t.co/Wsaup80aFs,"{
    ""Type of activity"": ""Vaccination programme mentioned. \nType of activity: Vaccination \nSpecific activities: Extending vaccination programme."",
    ""Number of participants"": ""No information on the number of participants.\n The vaccination programme is being extended, implying more people will participate.""
}",['Number of participants'],"[
    {
        ""Name of fact"": ""Type of activity"",
        ""Description of fact"": ""Specific activities that workers engage in during breaks to alleviate stress levels."",
        ""Common examples"": ""Playing video games, Guided relaxation session""
    },
    {
        ""Name of fact"": ""Number of participants"",
        ""Description of fact"": ""The number of people who take part in a particular event or program."",
        ""Common examples"": ""1000, 10k, 66""
    }
]"
0,Does anyone have any useful advice/guidance for whether the COVID vaccine is safe whilst nursing... https://t.co/EifsyQoeKN,"{
    ""Type"": ""Vaccine.\\nSpecifically, it is a COVID vaccine."",
    ""Breastfeeding status"": ""The COVID vaccine may not be suitable for lactating mothers. No specific guidance on breastfeeding status while receiving the vaccine was mentioned.""
}",Does anyone have any useful advice/guidance for whether the COVID vaccine is safe whilst breastfeeding?… https://t.co/EifsyQoeKN,"{
    ""Type"": ""The type of entity mentioned is: Vaccine.\nSpecifically, it is a COVID vaccine."",
    ""Breastfeeding status"": ""The COVID vaccine is safe for breastfeeding individuals. No specific guidance on breastfeeding status while receiving the vaccine was mentioned.""
}",['Breastfeeding status'],"[
    {
        ""Name of fact"": ""Type"",
        ""Description of fact"": ""The type or category of an entity, such as a vaccine."",
        ""Common examples"": ""COVID vaccine""
    },
    {
        ""Name of fact"": ""Breastfeeding status"",
        ""Description of fact"": ""A characteristic related to the breastfeeding habits of individuals."",
        ""Common examples"": ""breastfeeding""
    }
]"
